date,review_roaster,coffee,rating,link,Roaster Location:,Coffee Origin:,Roast Level:,Agtron:,Est. Price:,Review Date:,Aroma:,Body:,Flavor:,Aftertaste:,With Milk:,Acidity/Structure:,Acidity:
2024-01-04,Moore Coffee,El Salvador Aida Batlle La Florida Natural,95,https://www.coffeereview.com/review/el-salvador-aida-batlle-la-florida-natural/,"Ventura, California","Apaneca-Ilamatepec growing region, El Salvador",Medium-Light,56/74,$18.65/12 ounces,July 2022,9,9,9,9,,9,
2024-01-04,Nostalgia Coffee Roasters,Colombia Geisha Cordillera,95,https://www.coffeereview.com/review/colombia-geisha-cordillera/,"San Diego, California","Santa Barbara, Antioquia Department, Colombia",Medium-Light,58/78,$65.00/8 ounces,July 2022,9,9,9,9,,9,
2024-01-04,Bird Rock Coffee Roasters,Ethiopia Raro Boda,94,https://www.coffeereview.com/review/ethiopia-raro-boda/,"San Diego, California","Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,56/74,$22.00/12 ounces,July 2022,9,9,9,8,,9,
2024-01-04,Jaunt Coffee Roasters,Kenya Nyeri Gathaithi,93,https://www.coffeereview.com/review/kenya-nyeri-gathaithi/,"San Diego, California","Nyeri growing region, south-central Kenya",Medium-Light,62/78,$23.00/12 ounces,July 2022,9,8,9,8,,9,
2024-01-04,Handlebar Coffee,Honduras Marcala,93,https://www.coffeereview.com/review/honduras-marcala-2/,"Santa Barbara, California","Marcala growing region, La Paz Department, Honduras",Medium-Light,55/72,$20.00/12 ounces,July 2022,9,9,9,8,,8,
2024-01-04,Regent Coffee,Costa Rica Hacienda Sonora Honey,93,https://www.coffeereview.com/review/costa-rica-hacienda-sonora-honey/,"Glendale, California","Carrillos Alto de Poás, Alajuela Province, Costa Rica",Medium-Light,58/76,$21.00/12 ounces,July 2022,9,8,9,8,,9,
2024-01-04,The Reverse Orangutan,Ethiopia Shantawane Buncho Honey,93,https://www.coffeereview.com/review/ethiopia-shantawane-buncho-honey/,"Glendora, California","Sidama Region, south-central Ethiopia",Light,62/80,$22.00/12 ounces,July 2022,9,8,9,8,,9,
2024-01-04,Espresso Republic,Ethiopia Gigesa Natural,93,https://www.coffeereview.com/review/ethiopia-gigesa-natural-2/,"Chino, California","Guji Zone, Oromia Region, Ethiopia",Medium-Light,58/76,$15.95/12 ounces,July 2022,9,9,9,8,,8,
2024-01-04,Branch Street Coffee Roasters,Colombia Huila Finca Villabetuila Anaerobic Honey,93,https://www.coffeereview.com/review/colombia-huila-finca-villabetuila-anaerobic-honey/,"Youngstown, Ohio","Huila Department, Colombia",Medium-Light,59/74,$19.95/12 ounces,July 2022,9,9,9,8,,8,
2024-01-04,Barrington Coffee Roasting Co.,Costa Rica Bounty Gesha,94,https://www.coffeereview.com/review/costa-rica-bounty-gesha/,"Lee, Massachusetts","Dota, Tarrazú growing region, Costa Rica",Medium-Light,60/78,$39.45/12 ounces,July 2022,9,9,9,8,,9,
